TotalDisplacement 4672689
MaxDisplacement 346
NumCells 210904
c16261 1359 4131
c209756 1375 5499
c20496 1366 4047
c13979 1358 5415
c14340 1375 3819
c153643 1375 9243
c152064 1375 5655
c209900 1366 5415
c18838 1367 4611
c151967 1376 5535
c16501 1376 5415
c210112 1377 5691
c209805 1377 7035
c15735 1377 5127
c14861 1378 3735
c14330 1354 5247
c161392 1346 10995
c18118 1357 5055
c15521 1364 4515
c13778 1356 5307
c14675 1362 3999
c16279 1370 4695
c209980 1380 6939
c16005 1381 4851
c17670 1377 4023
c209997 1381 6627
c14319 1334 5163
c151004 1341 5427
c18138 1354 5259
c17486 1367 5307
c15939 1381 3783
c160934 1366 10995
c19132 1370 4215
c16641 1338 5043
c16633 1374 5055
c17016 1362 5439
c161743 1382 10707
c16661 1358 5211
c20497 1371 4131
c151512 1383 6123
c209879 1360 5079
c13889 1373 5235
c16057 1374 4587
c209797 1383 7155
c160814 1384 11031
c19133 1384 4155
c13702 1360 5175
c14670 1384 4011
c16623 1356 5319
c209782 1384 8067
c16743 1316 5403
c13556 1384 3867
c14779 1385 4563
c17084 1385 5007
c126555 1385 6747
c161757 1362 10851
c18179 1383 4455
c14408 1360 4731
c15778 1381 5235
c15516 1386 4299
c17035 1368 5271
c19117 1386 4347
c152061 1386 5655
c14419 1302 5091
c18114 1355 4839
c16034 1386 4743
c14091 1386 4671
c13552 1386 3879
c17681 1372 4503
c151079 1369 5631
c150805 1386 6219
c20931 1379 4215
c14306 1387 4887
c161661 1387 10731
c16001 1355 4719
c46882 1372 6099
c2951 1375 4719
c14683 1371 4203
c160938 1355 11019
c14314 1375 5079
c15510 1377 4515
c14404 1362 4599
c18121 1386 4947
c16507 1375 5331
c151964 1373 5439
c17158 1390 5127
c14329 1367 5151
c13587 1372 5343
c151926 1381 5619
c14790 1360 4839
c17036 1327 5403
c13591 1384 5343
c14669 1366 3975
c161887 1391 10743
c13776 1379 5295
c14342 1391 3843
c161679 1382 10851
c162029 1358 11043
c161712 1391 10911
c16025 1379 5271
c17145 1331 5091
c14412 1392 4683
c160813 1392 10959
c162624 1374 10983
c152063 1392 5535
c150792 1374 5823
c210115 1373 6183
c14397 1364 4911
c17032 1368 5319
c151974 1380 5487
c15699 1392 4239
c13902 1379 5319
c209763 1393 5883
c161423 1382 10983
c13966 1356 5427
c150940 1393 5907
c209757 1338 5403
c16015 1362 4647
c20486 1394 4323
c13967 1348 5403
c53636 1381 4047
c160659 1394 11007
c18361 1377 4755
c18177 1376 4611
c16268 1380 4359
c209887 1368 5559
c16495 1371 5259
c16290 1387 4575
c162097 1384 11019
c17015 1386 5415
c19125 1391 4023
c16047 1372 5187
c151025 1383 5559
c151495 1364 5367
c17053 1387 5331
c210532 1396 5607
c18110 1396 4875
c16031 1342 5091
c16260 1397 3963
c129108 1397 7851
c13590 1387 5295
c13984 1386 5283
c14327 1371 5199
c151954 1389 5571
c151493 1377 5367
c13671 1392 5187
c17056 1368 5355
c151123 1388 6183
c16550 1364 5427
c13693 1371 5175
c210526 1399 5055
c14778 1388 4455
c15931 1399 4311
c13670 1392 5115
c151950 1388 5487
c151060 1372 5391
c14856 1400 3891
c16018 1396 5151
c17049 1383 5247
c151078 1385 5631
c16274 1386 3999
c14441 1400 4995
c150994 1401 5643
c16745 1379 5355
c15740 1401 5187
c209755 1390 5355
c13661 1349 5379
c161713 1402 10899
c13913 1402 5139
c16054 1368 4623
c13779 1356 5403
c17037 1399 5271
c13547 1403 4383
c14400 1384 4839
c152055 1403 5667
c15711 1361 5379
c151270 1393 6159
c15930 1388 4623
c18150 1384 4611
c151143 1404 5883
c16058 1398 4611
c160592 1373 10863
c14089 1404 4707
c151927 1397 5571
c17726 1394 5283
c151080 1399 5559
c161424 1374 11043
c14343 1405 3855
c13982 1390 5367
c14855 1405 3927
c151050 1387 5547
c151081 1405 5691
c14780 1382 4647
c151429 1398 6159
c17682 1393 4359
c14430 1375 4935
c14789 1384 4443
c17148 1363 5163
c151124 1406 6183
c20495 1406 3987
c14798 1406 4731
c16035 1374 5163
c151943 1389 5619
c16255 1406 4095
c151048 1377 5427
c207689 1407 3867
c15520 1407 4407
c13986 1381 5439
c16746 1366 5379
c16737 1401 5331
c160596 1408 10851
c151042 1408 5475
c16259 1399 3999
c160423 1408 10935
c54552 1408 4179
c16109 1408 4779
c46880 1409 2655
c18112 1384 4959
c19136 1409 4143
c13686 1409 5127
c16338 1387 5319
c14433 1351 5043
c151479 1392 5499
c16270 1409 3831
c16028 1391 4947
c54554 1395 4203
c207687 1410 3891
c209959 1410 7515
c16340 1392 5319
c13903 1384 5307
c210110 1402 5547
c161912 1411 10815
c16278 1389 4635
c20493 1411 4119
c17001 1400 5355
c151929 1403 5523
c209766 1402 4635
c7468 1394 4587
c13684 1371 5211
c13665 1344 5103
c161422 1383 10923
c17969 1412 3879
c17069 1380 5043
c14788 1388 4503
c14394 1402 4659
c162148 1413 10695
c16510 1411 5355
c16059 1391 4599
c16043 1402 5319
c151767 1401 5679
c17057 1405 5499
c210116 1413 6003
c14323 1382 5175
c210113 1413 6411
c14334 1390 3975
c13676 1392 5235
c2953 1403 4791
c16549 1397 5415
c17100 1410 5271
c20490 1402 4059
c16699 1400 5115
c160599 1395 10827
c209898 1408 5523
c16470 1379 5211
c13543 1416 4155
c209885 1395 5019
c151387 1416 5979
c17077 1398 5367
c13912 1409 5367
c13899 1400 5235
c207885 1395 5295
c151028 1392 5427
c13896 1408 5295
c209807 1417 7083
c209945 1417 6483
c20488 1417 4191
c14410 1382 4695
c17147 1409 5247
c207682 1404 3939
c16637 1392 5307
c16269 1403 4587
c16060 1394 4551
c16984 1358 5223
c16276 1419 3903
c13997 1390 5463
c13977 1424 5355
c151186 1396 6039
c14390 1392 4815
c209999 1420 6531
c17054 1410 5415
c14786 1420 4431
c160812 1394 11043
c13666 1394 5163
c2957 1406 4647
c151800 1397 5619
c53635 1400 4023
c151977 1422 5499
c13335 1404 4299
c14411 1430 4647
c161680 1422 10875
c7465 1408 4623
c16280 1421 4491
c13695 1400 5199
c14663 1423 4359
c162529 1423 10947
c7467 1412 4635
c160657 1423 11055
c17138 1423 5187
c14427 1413 4839
c17448 1408 4851
c129109 1423 7707
c150904 1408 5931
c151007 1408 5427
c14093 1424 4719
c161885 1424 10647
c14674 1424 4035
c16257 1417 4059
c150854 1408 5775
c151491 1410 5535
c160575 1425 10899
c14097 1411 4863
c18853 1412 4503
c13553 1417 3939
c16646 1426 5139
c16045 1369 5223
c207961 1421 5007
c16275 1426 3939
c151055 1396 5487
c20927 1403 4167
c14331 1400 5307
c17668 1401 4047
c18143 1411 4695
c16996 1391 5043
c15509 1426 4467
c13672 1426 5067
c13668 1427 5127
c151458 1412 6219
c16258 1427 4059
c15940 1408 4443
c14341 1427 3891
c20918 1427 4143
c16491 1416 5151
c7462 1421 4851
c151053 1389 5439
c151032 1404 5439
c15712 1420 5259
c16503 1364 5403
c150764 1412 6039
c14792 1417 4623
c14407 1424 4599
c160419 1423 11043
c14226 1402 5163
c209772 1387 5391
c150791 1429 6027
c16062 1429 4671
c13701 1412 5115
c210543 1429 6195
c150903 1429 5991
c17070 1412 5331
c210002 1414 6507
c209944 1398 5463
c18116 1430 4875
c13991 1377 5379
c13975 1394 5451
c16672 1377 5403
c2956 1396 4755
c2955 1400 4575
c151481 1408 5463
c150825 1398 5823
c151114 1411 6171
c160424 1431 11067
c151979 1431 5511
c14415 1411 4947
c151446 1431 5643
c151955 1415 5559
c15964 1432 4371
c14777 1432 4503
c151026 1414 5607
c161750 1432 10503
c16037 1428 5151
c18823 1432 4971
c16998 1422 5319
c17123 1426 5163
c16923 1433 4995
c151844 1433 6051
